date,area,alpha_3,variable,generation_twh
2020-03-01T00:00:00Z,Austria,AUT,Gas,0.9178740000000001
2020-03-01T00:00:00Z,Austria,AUT,Hard Coal,0.1082612
2020-03-01T00:00:00Z,Austria,AUT,Other fossil,0.016367999999999997
2020-03-01T00:00:00Z,Austria,AUT,Bioenergy,0.157888
2020-03-01T00:00:00Z,Austria,AUT,Hydro,2.4773207999999998
2020-03-01T00:00:00Z,Austria,AUT,Other renewables,5.208e-5
2020-03-01T00:00:00Z,Austria,AUT,Solar,0.120024
2020-03-01T00:00:00Z,Austria,AUT,Wind,0.8056319999999999
2020-03-01T00:00:00Z,Austria,AUT,Waste,0.07440000000000001
2020-04-01T00:00:00Z,Austria,AUT,Demand,4.354954800000001
2020-04-01T00:00:00Z,Austria,AUT,Production,3.6856527999999997
2020-04-01T00:00:00Z,Austria,AUT,Net imports,0.38648379
2020-04-01T00:00:00Z,Austria,AUT,Gas,0.4068104
2020-04-01T00:00:00Z,Austria,AUT,Hard Coal,0
2020-04-01T00:00:00Z,Austria,AUT,Other fossil,0.01584
2020-04-01T00:00:00Z,Austria,AUT,Bioenergy,0.14977600000000002
2020-04-01T00:00:00Z,Austria,AUT,Hydro,2.50882
2020-04-01T00:00:00Z,Austria,AUT,Other renewables,5.04e-5
2020-04-01T00:00:00Z,Austria,AUT,Solar,0.101508
2020-04-01T00:00:00Z,Austria,AUT,Wind,0.430848
2020-04-01T00:00:00Z,Austria,AUT,Waste,0.072
2020-05-01T00:00:00Z,Austria,AUT,Demand,4.5455688
2020-05-01T00:00:00Z,Austria,AUT,Production,4.39167328
2020-05-01T00:00:00Z,Austria,AUT,Net imports,-0.0469174
2020-05-01T00:00:00Z,Austria,AUT,Gas,0.0828052
2020-05-01T00:00:00Z,Austria,AUT,Hard Coal,0
2020-05-01T00:00:00Z,Austria,AUT,Other fossil,0.016367999999999997
2020-05-01T00:00:00Z,Austria,AUT,Bioenergy,0.15005600000000002
2020-05-01T00:00:00Z,Austria,AUT,Hydro,3.245876
2020-05-01T00:00:00Z,Austria,AUT,Other renewables,5.208e-5
2020-05-01T00:00:00Z,Austria,AUT,Solar,0.102572
2020-05-01T00:00:00Z,Austria,AUT,Wind,0.719544
2020-05-01T00:00:00Z,Austria,AUT,Waste,0.07440000000000001
2020-06-01T00:00:00Z,Austria,AUT,Demand,4.5164396
2020-06-01T00:00:00Z,Austria,AUT,Production,4.686584799999999
2020-06-01T00:00:00Z,Austria,AUT,Net imports,-0.43300822
2020-06-01T00:00:00Z,Austria,AUT,Gas,0.092344
2020-06-01T00:00:00Z,Austria,AUT,Hard Coal,0
2020-06-01T00:00:00Z,Austria,AUT,Other fossil,0.01584
2020-06-01T00:00:00Z,Austria,AUT,Bioenergy,0.137236
2020-06-01T00:00:00Z,Austria,AUT,Hydro,3.6138984
2020-06-01T00:00:00Z,Austria,AUT,Other renewables,5.04e-5
2020-06-01T00:00:00Z,Austria,AUT,Solar,0.096788
2020-06-01T00:00:00Z,Austria,AUT,Wind,0.658428
2020-06-01T00:00:00Z,Austria,AUT,Waste,0.072
2020-07-01T00:00:00Z,Austria,AUT,Demand,4.8067008
2020-07-01T00:00:00Z,Austria,AUT,Production,4.82388568
2020-07-01T00:00:00Z,Austria,AUT,Net imports,-0.3435663
2020-07-01T00:00:00Z,Austria,AUT,Gas,0.4303868
2020-07-01T00:00:00Z,Austria,AUT,Hard Coal,0
2020-07-01T00:00:00Z,Austria,AUT,Other fossil,0.016367999999999997
2020-07-01T00:00:00Z,Austria,AUT,Bioenergy,0.12941999999999998
2020-07-01T00:00:00Z,Austria,AUT,Hydro,3.7019068
2020-07-01T00:00:00Z,Austria,AUT,Other renewables,5.208e-5
2020-07-01T00:00:00Z,Austria,AUT,Solar,0.109636
2020-07-01T00:00:00Z,Austria,AUT,Wind,0.361716
2020-07-01T00:00:00Z,Austria,AUT,Waste,0.07440000000000001
2020-08-01T00:00:00Z,Austria,AUT,Demand,4.7569016
2020-08-01T00:00:00Z,Austria,AUT,Production,4.55543008
2020-08-01T00:00:00Z,Austria,AUT,Net imports,-0.14757182
