country,state,date,variable,generation_gwh,share_of_generation_pct,emissions_ktco2,share_of_emissions_pct
Türkiye,Adana,2019-05-01,Hydro,723.83,68.57,17.37,6.54
Türkiye,Adana,2019-05-01,Other Fossil,0,0,0,0
Türkiye,Adana,2019-05-01,Solar,18.82,1.78,0.9,0.34
Türkiye,Adana,2019-05-01,Wind,0,0,0,0
Türkiye,Adana,2019-06-01,Bioenergy,8.57,0.85,1.97,0.47
Türkiye,Adana,2019-06-01,Coal,486.11,48.21,398.61,95.24
Türkiye,Adana,2019-06-01,Gas,11.18,1.11,5.48,1.31
Türkiye,Adana,2019-06-01,Geothermal,0,0,0,0
Türkiye,Adana,2019-06-01,Hydro,485.05,48.1,11.64,2.78
Türkiye,Adana,2019-06-01,Other Fossil,0,0,0,0
Türkiye,Adana,2019-06-01,Solar,17.43,1.73,0.84,0.2
Türkiye,Adana,2019-06-01,Wind,0,0,0,0
Türkiye,Adana,2019-07-01,Bioenergy,8.63,0.69,1.98,0.28
Türkiye,Adana,2019-07-01,Coal,842.94,67.83,691.21,97.57
Türkiye,Adana,2019-07-01,Gas,11.52,0.93,5.64,0.8
Türkiye,Adana,2019-07-01,Geothermal,0,0,0,0
Türkiye,Adana,2019-07-01,Hydro,359.98,28.97,8.64,1.22
Türkiye,Adana,2019-07-01,Other Fossil,0,0,0,0
Türkiye,Adana,2019-07-01,Solar,19.73,1.59,0.95,0.13
Türkiye,Adana,2019-07-01,Wind,0,0,0,0
Türkiye,Adana,2019-08-01,Bioenergy,8.96,0.61,2.06,0.21
Türkiye,Adana,2019-08-01,Coal,1151.92,77.98,944.57,98.38
Türkiye,Adana,2019-08-01,Gas,11.71,0.79,5.74,0.6
Türkiye,Adana,2019-08-01,Geothermal,0,0,0,0
Türkiye,Adana,2019-08-01,Hydro,285.7,19.34,6.86,0.71
Türkiye,Adana,2019-08-01,Other Fossil,0,0,0,0
Türkiye,Adana,2019-08-01,Solar,18.83,1.27,0.9,0.09
Türkiye,Adana,2019-08-01,Wind,0,0,0,0
Türkiye,Adana,2019-09-01,Bioenergy,8.44,0.61,1.94,0.21
Türkiye,Adana,2019-09-01,Coal,1100.13,79.32,902.11,98.42
Türkiye,Adana,2019-09-01,Gas,11.62,0.84,5.69,0.62
Türkiye,Adana,2019-09-01,Geothermal,0,0,0,0
Türkiye,Adana,2019-09-01,Hydro,249.2,17.97,5.98,0.65
Türkiye,Adana,2019-09-01,Other Fossil,0,0,0,0
Türkiye,Adana,2019-09-01,Solar,17.53,1.26,0.84,0.09
Türkiye,Adana,2019-09-01,Wind,0,0,0,0
Türkiye,Adana,2019-10-01,Bioenergy,8.87,0.61,2.04,0.21
Türkiye,Adana,2019-10-01,Coal,1162.9,79.51,953.58,98.48
Türkiye,Adana,2019-10-01,Gas,11.44,0.78,5.61,0.58
Türkiye,Adana,2019-10-01,Geothermal,0,0,0,0
Türkiye,Adana,2019-10-01,Hydro,265.25,18.14,6.37,0.66
Türkiye,Adana,2019-10-01,Other Fossil,0,0,0,0
Türkiye,Adana,2019-10-01,Solar,14.14,0.97,0.68,0.07
Türkiye,Adana,2019-10-01,Wind,0,0,0,0
Türkiye,Adana,2019-11-01,Bioenergy,8.78,0.63,2.02,0.21
Türkiye,Adana,2019-11-01,Coal,1162.51,83.59,953.26,98.73
Türkiye,Adana,2019-11-01,Gas,10.17,0.73,4.98,0.52
Türkiye,Adana,2019-11-01,Geothermal,0,0,0,0
Türkiye,Adana,2019-11-01,Hydro,197.69,14.21,4.74,0.49
Türkiye,Adana,2019-11-01,Other Fossil,0,0,0,0
Türkiye,Adana,2019-11-01,Solar,11.63,0.84,0.56,0.06
Türkiye,Adana,2019-11-01,Wind,0,0,0,0
