country,state,year,variable,generation_gwh,share_of_generation_pct,capacity_mw,emissions_ktco2,share_of_emissions_pct
India,Andhra Pradesh,2020,Coal,44290.94,68.6,11590.0,36318.57,94.21
India,Andhra Pradesh,2020,Fossil,47785.31,74.01,16525.34,38030.81,98.65
India,Andhra Pradesh,2020,Gas,3494.37,5.41,4898.54,1712.24,4.44
India,Andhra Pradesh,2020,Hydro,3588.07,5.56,1772.11,86.11,0.22
India,Andhra Pradesh,2020,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Andhra Pradesh,2020,Other Fossil,0.0,0.0,36.8,0.0,0.0
India,Andhra Pradesh,2020,Other Renewables,38.27,0.06,0.0,1.45,0.0
India,Andhra Pradesh,2020,Renewables,16775.06,25.99,10215.56,519.07,1.34
India,Andhra Pradesh,2020,Solar,6566.31,10.17,3844.17,315.18,0.82
India,Andhra Pradesh,2020,Wind,6381.84,9.89,4092.45,70.2,0.18
India,Andhra Pradesh,2020,Wind and solar,12948.15,20.06,7936.62,385.38,1.0
India,Andhra Pradesh,2021,Bioenergy,183.93,0.24,551.04,42.3,0.09
India,Andhra Pradesh,2021,Clean,18930.65,25.12,10803.38,585.92,1.27
India,Andhra Pradesh,2021,Coal,53958.91,71.62,11590.0,44246.31,96.12
India,Andhra Pradesh,2021,Fossil,56409.16,74.87,16525.34,45446.93,98.73
India,Andhra Pradesh,2021,Gas,2450.25,3.25,4898.54,1200.62,2.61
India,Andhra Pradesh,2021,Hydro,3630.57,4.82,1772.11,87.13,0.19
India,Andhra Pradesh,2021,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Andhra Pradesh,2021,Other Fossil,0.0,0.0,36.8,0.0,0.0
India,Andhra Pradesh,2021,Other Renewables,107.7,0.14,0.0,4.09,0.01
India,Andhra Pradesh,2021,Renewables,18930.65,25.12,10803.38,585.92,1.27
India,Andhra Pradesh,2021,Solar,7764.92,10.31,4383.58,372.72,0.81
India,Andhra Pradesh,2021,Wind,7243.53,9.61,4096.65,79.68,0.17
India,Andhra Pradesh,2021,Wind and solar,15008.45,19.92,8480.23,452.4,0.98
India,Andhra Pradesh,2022,Bioenergy,176.79,0.22,566.04,40.66,0.08
India,Andhra Pradesh,2022,Clean,19886.15,24.76,10959.52,614.29,1.23
India,Andhra Pradesh,2022,Coal,59458.07,74.03,11590.0,48755.62,97.81
India,Andhra Pradesh,2022,Fossil,60428.0,75.24,16525.34,49230.89,98.76
India,Andhra Pradesh,2022,Gas,969.93,1.21,4898.54,475.27,0.95
India,Andhra Pradesh,2022,Hydro,4088.55,5.09,1772.11,98.13,0.2
India,Andhra Pradesh,2022,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Andhra Pradesh,2022,Other Fossil,0.0,0.0,36.8,0.0,0.0
India,Andhra Pradesh,2022,Other Renewables,261.78,0.33,,9.95,0.02
India,Andhra Pradesh,2022,Renewables,19886.15,24.76,10959.52,614.29,1.23
India,Andhra Pradesh,2022,Solar,8016.28,9.98,4524.72,384.78,0.77
India,Andhra Pradesh,2022,Wind,7342.75,9.14,4096.65,80.77,0.16
India,Andhra Pradesh,2022,Wind and solar,15359.03,19.12,8621.37,465.55,0.93
India,Andhra Pradesh,2023,Bioenergy,85.76,0.1,566.39,19.72,0.03
India,Andhra Pradesh,2023,Clean,19046.97,21.61,11001.95,569.11,0.99
India,Andhra Pradesh,2023,Coal,69108.69,78.39,13190.0,56669.12,99.01
India,Andhra Pradesh,2023,Fossil,69108.69,78.39,18125.34,56669.12,99.01
India,Andhra Pradesh,2023,Gas,0.0,0.0,4898.54,0.0,0.0
India,Andhra Pradesh,2023,Hydro,1953.55,2.22,1773.31,46.89,0.08
India,Andhra Pradesh,2023,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Andhra Pradesh,2023,Other Fossil,0.0,0.0,36.8,0.0,0.0
India,Andhra Pradesh,2023,Other Renewables,303.64,0.34,,11.54,0.02
India,Andhra Pradesh,2023,Renewables,19046.97,21.61,11001.95,569.11,0.99
India,Andhra Pradesh,2023,Solar,8303.21,9.42,4565.6,398.55,0.7
India,Andhra Pradesh,2023,Wind,8400.81,9.53,4096.65,92.41,0.16
India,Andhra Pradesh,2023,Wind and solar,16704.02,18.95,8662.25,490.96,0.86
India,Andhra Pradesh,2024,Bioenergy,86.5,0.1,574.39,19.9,0.03
India,Andhra Pradesh,2024,Clean,18943.58,20.9,11174.62,571.83,0.97
India,Andhra Pradesh,2024,Coal,71659.23,79.06,13190.0,58760.57,99.01
India,Andhra Pradesh,2024,Fossil,71695.68,79.1,17905.34,58778.43,99.04
India,Andhra Pradesh,2024,Gas,36.45,0.04,4678.54,17.86,0.03
India,Andhra Pradesh,2024,Hydro,3158.6,3.48,1773.31,75.81,0.13
India,Andhra Pradesh,2024,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Andhra Pradesh,2024,Other Fossil,0.0,0.0,36.8,0.0,0.0
India,Andhra Pradesh,2024,Other Renewables,304.81,0.34,,11.58,0.02
India,Andhra Pradesh,2024,Renewables,18943.58,20.9,11174.62,571.83,0.97
India,Andhra Pradesh,2024,Solar,7978.5,8.8,4730.27,382.97,0.65
India,Andhra Pradesh,2024,Wind,7415.17,8.18,4096.65,81.57,0.14
India,Andhra Pradesh,2024,Wind and solar,15393.67,16.98,8826.92,464.54,0.79
India,Arunachal Pradesh,2019,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2019,Clean,1649.85,100.0,651.71,39.63,100.0
India,Arunachal Pradesh,2019,Coal,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2019,Fossil,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2019,Gas,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2019,Hydro,1648.44,99.91,646.1,39.56,99.83
India,Arunachal Pradesh,2019,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2019,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2019,Other Renewables,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2019,Renewables,1649.85,100.0,651.71,39.63,100.0
India,Arunachal Pradesh,2019,Solar,1.41,0.09,5.61,0.07,0.17
India,Arunachal Pradesh,2019,Wind,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2019,Wind and solar,1.41,0.09,5.61,0.07,0.17
India,Arunachal Pradesh,2020,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2020,Clean,3200.6,100.0,951.71,76.86,100.0
India,Arunachal Pradesh,2020,Coal,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2020,Fossil,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2020,Gas,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2020,Hydro,3198.96,99.95,946.1,76.78,99.9
